רצף כללי,שם הסרטון,תאור תוכן הסרטון,מילות מפתח- להכניס עם פסיק בין מילה למילה,הערות למורים,קישור ליוטיוב- חדש,,,,,,קישור ליוטיוב- רעות/שיר 
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 3 - העברת מטען בין אלקטרוסקופים,"העברת מטען בין אלקטרוסקופ טעון לאלקטרוסקופ לא טעון
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, מוליך, אלקטרוסקופ, טעינה במגע","סרטון 3, מתוך רצף של 7 סרטונים",https://youtu.be/ZxTsErvhs-U,,,,,,https://youtu.be/ol5Py4pugI8
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 4 - טעינה בהשראה והפרדה,"טעינה באמצעות השראה והפרדה של שני גופים
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, מוליך, טעינה בהשראה","סרטון 4, מתוך רצף של 7 סרטונים",https://youtu.be/FrRFas1H-0U,,,,,,https://youtu.be/HoJtaLDgiT8
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 5 - טעינה בהשראה והארקה,"טעינת אלקטרוסקופ בהשראה והארקה
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, מוליך, אלקטרוסקופ, טעינה בהשראה., קיטוב, השראה, הארקה","סרטון 5, מתוך רצף של 7 סרטונים",https://youtu.be/ikVkl5xyvYY,,,,,,https://youtu.be/NyzB6RRsZXM
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 6 - הדבקת בלון לקיר,"הדגמת כוח משיכה בין שני גופים מבודדים, אחד טעון והשני לא, באמצעות קיטוב מושרה - בלון טעון נדבק לקיר לא טעון
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, אלקטרוסקופ, טעינה בהשראה., קיטוב מושרה, השראה, מבודד","סרטון 6, מתוך רצף של 7 סרטונים",https://youtu.be/8mcCVrblyM8,,,,,,https://youtu.be/fdINoTBvDJY
הדגמות חשמל,חשמל-אלקטרוסטטיקה-טעינת גופים 7 - הסטת זרם מים,"הדגמת כוח משיכה בין שני גופים מבודדים, אחד טעון והשני לא, באמצעות קיטוב מושרה - זרם מים ניטרלי נמשך למוט טעון
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,אלקטרוסטטיקה,טעינת גופים, אלקטרוסקופ, טעינה בהשראה., קיטוב מושרה, השראה, מבודד","סרטון 7, מתוך רצף של 7 סרטונים",https://youtu.be/UImduRAnNnc,,,,,,https://youtu.be/7PP6iXTpc_4
הדגמות חשמל,חשמל- אלקטרוסטטיקה- הדגמה וימשהרסט,"הדגמת ברקים, שדה חשמלי אחיד בין לוחות, מטוטלת חשמלית ופלסמה של נר באמצעות מכשיר הוימשהרסט.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.",,,https://youtu.be/2K4qGk51v-Y,,,,,,
הדגמות חשמל,חשמל- אלקטרוסטטיקה- הדגמה ואן דה גרף בגרסה הארוכה,"הדגמה המראה את מבנה מכשיר הואן דה גרף, ברקים, העמדת שיער, כובעי מתכת עפים באויר, שדה חשמלי, הדלקת נורת פלורסנט, דפי נייר מקוטבים, בועות סבון ושבשבת ליד הואן דה גרף.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.",,"ניתן להשתמש בסרטון לסיכום נושא האלקטרוסטטיקה, בסוף הפרק.",https://youtu.be/UBBxwykbeFg,,,,,,
הדגמות חשמל,חשמל- אלקטרוסטטיקה- הדגמה ואן דה גרף בגרסה המקוצרת,"הדגמה המראה את מבנה מכשיר הואן דה גרף, ברקים, העמדת שיער, שדה חשמלי, הדלקת נורת פלורסנט, דפי נייר מקוטבים, בועות סבון ושבשבת ליד הואן דה גרף.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.",,אותו הסרטון כמו בגרסה הארוכה רק בלי כובעי מתכת עפים באויר.,https://youtu.be/nCIw8nUtReM,,,,,,
הדגמות חשמל,חשמל - מעגלי זרם - חיבור ריאוסטטי 1 - חיבור ריאוסטטי,"הסבר איך מחברים במציאות מעגל עם נגד משתנה בחיבור ריאוסטטי.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,מעגלי זרם, חיבור ריאוסטטי, נגד משתנה","סרטון 1, מתוך רצף של 5 סרטונים",https://youtu.be/vNNqweVwSMQ,,,,,,https://youtu.be/WWYhDSfMDOQ
הדגמות חשמל,חשמל - מעגלי זרם - חיבור ריאוסטטי 2 - הדגמה מדידת זרם והארה בחיבור ריאוסטטי,"הדגמה מדידת זרם והארה בחיבור ריאוסטטי עם נגד משתנה.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,מעגלי זרם, חיבור ריאוסטטי, נגד משתנה, זרם, הארה","סרטון 2, מתוך רצף של 5 סרטונים",https://youtu.be/BxYby_c7qNU,,,,,,https://youtu.be/8YoWOvoTRgU
הדגמות חשמל,חשמל - מעגלי זרם - חיבור פוטנציומטרי 1 - חיבור פוטנציומטרי,"הסבר איך מחברים במציאות מעגל עם נגד משתנה בחיבור פוטנציומטרי.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,מעגלי זרם, חיבור פוטנציומטריי, נגד משתנה","סרטון  3, מתוך רצף של 5 סרטונים",https://youtu.be/AGQ4JG1uq-Q,,,,,,https://youtu.be/9CN29gp0BIA
הדגמות חשמל,חשמל - מעגלי זרם - חיבור פוטנציומטרי 2 - הדגמה מדידת זרם והארה בחיבור פוטנציומטרי,"הדגמה מדידת זרם והארה בחיבור פוטנציומטריעם נגד משתנה.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,מעגלי זרם, חיבור פוטנציומטרי, נגד משתנה, זרם, הארה","סרטון 4, מתוך רצף של 5 סרטונים",https://youtu.be/djRWdUduEAs,,,,,,https://youtu.be/IfMqX53vpOc
הדגמות חשמל,חשמל מעגלי זרם - הדגמה מחלק מתח - חיבור פוטנציומטרי,"הדגמה של מחלק מתח עם 2 נורות- חיבור פוטנציומטרי.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה,מרכז שוורץ רייסמן,מכון ויצמן,מש/ר,הדגמות חשמל,מעגלי זרם, חיבור פוטנציומטרי, מחלק מתח, נגד משתנה, זרם, הארה","סרטון 5, מתוך רצף של 5 סרטונים",https://youtu.be/A_N-hmjAAew,,,,,,https://youtu.be/G47JWN4ahVQ
הדגמות חשמל,חשמל מעגלי זרם - ניסוי אופיין נגד,"ניסוי אופיין נגד: מדידת הזרם בנגד כתלות במתח.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נגד, מתח, זרם, אופיין נגד, חוק אוהם",הסבר תיאורטי על המערכת ואופן החיבור שלה,https://youtu.be/obF6SfOf2sQ,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - ניסוי אופיין נגד- מדידות,,,סרטון ממנו התלמידים יכולים לקחת מדידות ובאמצעותן לבנות גרף ולחלץ את מושג ההתנגדות,https://www.youtube.com/watch?v=-cQ93w_Ogec&list=PLjm_kheh3BqptCY2LRF_v6mA0CBTRQ1cf&index=5,,,,,,
הדגמות חשמל,חשמל - מעגלי זרם - ניסוי אופיין נורה,,,סרטון ממנו התלמידים יכולים לקחת מדידות לבנות גרף ,https://www.youtube.com/watch?v=sZSDJfK4F0c&list=PLjm_kheh3BqptCY2LRF_v6mA0CBTRQ1cf&index=8,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - מדידת אופיין דיודה,"מדידת אופיין דיודה: צילום מסך של מדידת הזרם כתלות במתח על דיודה.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, דיודה, מתח, זרם, אופיין דיודה, מדידת אופיין",,https://youtu.be/WAmq7TWZqwk,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - ניסוי אופיין תייל - חלק א',"מדידת אופיין תייל: הסבר על חיבור המעגל וביצוע הניסוי: מדידת תלות ההתנגדות של התייל כפונקציה של אורכו.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, תייל, התנגדות, מתח, זרם, אופיין, אורך, שטח חתך.",סירטון 1 מתוך 2,https://youtu.be/_FCN5Mipa2M,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - ניסוי אופיין תייל - חלק ב',"מדידת אופיין תייל: הסבר על חיבור המעגל וביצוע הניסוי: מדידת תלות ההתנגדות של התייל כפונקציה של שטח החתך שלו.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, תייל, התנגדות, מתח, זרם, אופיין, אורך, שטח חתך.",סירטון 2 מתוך 2,https://youtu.be/Uxl8kDfx-UI,,,,,,
הדגמות חשמל,חשמל מעגלי זרם- ניסוי אופין תיל - הקשר בין אורך התיל להתנגדותו- חדש,,,"סרטון ממנו התלמידים יכולים לקחת מדידות לבנות גרף .
סרטון מתוקן שמירה על מתח קבוע",https://youtu.be/2KYbpulxF_c,,,,,,
הדגמות חשמל,חשמל - מעגלי זרם - ניסוי אופין תיל - הקשר בין עובי התיל להתנגדותו,,,סרטון ממנו התלמידים יכולים לקחת מדידות לבנות גרף . סרטון בני,https://www.youtube.com/watch?v=feZFBjzFobE&list=PLjm_kheh3BqptCY2LRF_v6mA0CBTRQ1cf&index=7&t=7s,,,,,,
הדגמות חשמל,חשמל - מעגלי זרם - ניסוי אופין תיל - הקשר בין עובי התיל להתנגדותו- חדש,,,סרטון ממנו התלמידים יכולים לקחת מדידות לבנות גרף. סרטון נתנאל,https://youtu.be/dzw7B8V0I1c,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - סרטוני חיבור נורות - שאלה נורות במקביל,"הדגמה של נורה מחוברת לספק והצגת השאלה: מה יקרה לעוצמת ההארה של הנורה כאשר נחבר בנוסף אליה נורה זהה נוספת במקביל.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נורה, הספק, ספק, מתח, חיבור במקביל, עוצמת הארה",סירטון 1 מתוך 6,https://youtu.be/PG-EJyIXtRk,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - סרטוני חיבור נורות - תשובה נורות במקביל,"הדגמה של נורה מחוברת לספק והוספה של נורה נוספת במקביל אליה - מה קורה לעוצמת ההארה של הנורה הראשונה.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נורה, הספק, ספק, מתח, חיבור בטור, עוצמת הארה",סירטון 2 מתוך 6,https://youtu.be/xT6CQER5vFE,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - סרטוני חיבור נורות - שאלה נורות בטור,הדגמה של נורה מחוברת לספק והצגת השאלה: מה יקרה לעוצמת ההארה של הנורה כאשר נחבר בנוסף אליה נורה זהה נוספת בטור. ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.,"פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נורה, הספק, ספק, מתח, חיבור בטור, עוצמת הארה",סירטון 3 מתוך 6,https://youtu.be/1y1TQrWgl6M,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - סרטוני חיבור נורות - תשובה נורות בטור,"הדגמה של נורה מחוברת לספק והוספה של נורה נוספת בטור אליה - מה קורה לעוצמת ההארה של הנורה הראשונה.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי.","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נורה, הספק, ספק, מתח, חיבור בטור, עוצמת הארה",סירטון 4 מתוך 6,https://youtu.be/QGXk8DuXZLo,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - סרטוני חיבור נורות - שאלה 3 נורות,"הדגמה של שתי נורות המחוברות בטור לספק מתח, והצגת השאלה: מה יקרה לעוצמות ההארה של הנורות כאשר נחבר לאחת מהן נורה נוספת במקביל.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נורה, הספק, ספק, מתח, חיבור בטור, חיבור במקביל, עוצמת הארה",סירטון 5 מתוך 6,https://youtu.be/Nacel7Jpbwc,,,,,,
הדגמות חשמל,חשמל מעגלי זרם - סרטוני חיבור נורות - תשובה 3 נורות,"הדגמה של שתי נורות המחוברות בטור לספק מתח, הוספה של נורה נוספת במקביל לאחת מהן, ומה קורה לעוצמות ההארה של הנורות.
ההדגמה צולמה כחלק מפרויקט למידה מרחוק על ידי מורי מרכז שוורץ רייסמן לחינוך מדעי","פיזיקה, מרכז שוורץ רייסמן ,מכון ויצמן, מש/ר, הדגמות חשמל, מעגלי זרם, נורה, הספק, ספק, מתח, חיבור בטור, חיבור במקביל, עוצמת הארה",סירטון 6 מתוך 6,https://youtu.be/sKQB8r290Mw,,,,,,
הדגמות חשמל,חשמל מעגלי זרם- ניסוי אופיין סוללה- הרכבת המערכת,סרטון קצר המדגים כיצד יש לחבר את מערכת הניסוי,,,https://youtu.be/v64DKJCQHyc,,,,,,
הדגמות חשמל,חשמל מעגלי זרם- ניסוי אופיין סוללה- ביצוע מדידות,,,סרטון ממנו התלמידים יכולים לאסוף נתונים מהמערכת,https://youtu.be/ueRu2VNIKII,,,,,,
הדגמות חשמל,חשמל מעגלי זרם- ניסוי אופיין סוללה- הדגמת מצב של נתק במעגל,סרטון המאפשר קריאה נוחה של המתח על הסוללה,,,https://youtu.be/FVtDgkghQWE,,,,,,
הדגמות חשמל,חשמל- מגנטיות- כוחות משיכה ודחיה בין מגנטים,,,מתוך רצף הדגמות בשיעור פתיחה בנושא מגנטיות,https://youtu.be/SDmDrjccBIs,,,,,,
הדגמות חשמל,חשמל- מגנטיות- השפעת מגנט על סוגי מתכות שונים,סרטון המדגים שלא כל סוגי המתכות יכולות להתמגנט/ ההשפעה של מגנט חיצוני בקרבת המתכת היא השפעה חלשה ,,מתוך רצף הדגמות בשיעור פתיחה בנושא מגנטיות,https://youtu.be/SczZ6ifR9oM,,,,,,
הדגמות חשמל,חשמל- מגנטיות- סידור מצפנים סביב מגנט מוט,,,מתוך רצף הדגמות בשיעור פתיחה בנושא מגנטיות,https://youtu.be/jrJcu23eH_s,,,,,,
הדגמות חשמל,חשמל- מגנטיות- סידור מצפנים סביב מגנט מוט 2,,,מתוך רצף הדגמות בשיעור פתיחה בנושא מגנטיות,https://youtu.be/0QbxNoAOTVM,,,,,,
הדגמות חשמל,חשמל- מגנטיות- תליית מסמרים על מגנט,,,מתוך רצף הדגמות בשיעור פתיחה בנושא מגנטיות,https://youtu.be/P17qaD4horQ,,,,,,
